OrderID,CustomerID,ProductID,DateKey,RegionID,Quantity,UnitPrice,Discount,PaymentMethod,DeliveryStatus,Revenue
ORD-00017,CUST-0175,PROD-009,20230830,1,1,557.03,0.23,Net Banking,Delivered,428.91
ORD-00030,CUST-0108,PROD-007,20240305,2,1,8081.49,0.27,Net Banking,Delivered,5899.49
ORD-00032,CUST-0445,PROD-003,20220701,3,1,16100.3,0.29,Net Banking,Delivered,11431.21
ORD-00053,CUST-0206,PROD-006,20230811,1,1,18018.21,0.13,Net Banking,Delivered,15675.84
ORD-00072,CUST-0427,PROD-005,20240425,4,1,17496.79,0.02,Net Banking,Delivered,17146.85
ORD-00075,CUST-0428,PROD-005,20221128,2,1,13480.79,0.04,Net Banking,Delivered,12941.56
ORD-00139,CUST-0063,PROD-008,20240804,3,1,11760.39,0.17,Net Banking,Delivered,9761.12
ORD-00141,CUST-0161,PROD-007,20220707,4,1,9088.45,0.28,Net Banking,Delivered,6543.68
ORD-00153,CUST-0098,PROD-001,20240526,1,1,3714.14,0.07,Net Banking,Delivered,3454.15
ORD-00195,CUST-0456,PROD-005,20230101,4,1,14526.9,0.03,Net Banking,Delivered,14091.09
ORD-00244,CUST-0051,PROD-009,20230402,3,1,4355.88,0.1,Net Banking,Delivered,3920.29
ORD-00310,CUST-0277,PROD-009,20230305,4,1,17594.91,0.21,Net Banking,Delivered,13899.98
ORD-00348,CUST-0049,PROD-004,20220112,4,1,17247.97,0.03,Net Banking,Delivered,16730.53
ORD-00351,CUST-0226,PROD-004,20240607,4,1,13965.55,0.29,Net Banking,Delivered,9915.54
ORD-00365,CUST-0138,PROD-002,20230426,1,1,4443.14,0.28,Net Banking,Delivered,3199.06
ORD-00369,CUST-0441,PROD-005,20221119,4,1,6529.11,0.18,Net Banking,Delivered,5353.87
ORD-00399,CUST-0036,PROD-010,20231130,3,1,4469.67,0.27,Net Banking,Delivered,3262.86
ORD-00432,CUST-0342,PROD-001,20240707,3,1,15674.16,0.02,Net Banking,Delivered,15360.68
ORD-00433,CUST-0326,PROD-002,20240323,3,1,18629.99,0.28,Net Banking,Delivered,13413.59
ORD-00434,CUST-0130,PROD-005,20240728,3,1,5065.86,0.07,Net Banking,Delivered,4711.25
ORD-00439,CUST-0209,PROD-006,20221206,3,1,11383.42,0.02,Net Banking,Delivered,11155.75
ORD-00440,CUST-0291,PROD-001,20221213,2,1,6916.23,0.26,Net Banking,Delivered,5118.01
ORD-00490,CUST-0466,PROD-001,20240928,1,1,12674.68,0.02,Net Banking,Delivered,12421.19
ORD-00515,CUST-0323,PROD-009,20241028,4,1,8626.01,0,Net Banking,Delivered,8626.01
ORD-00549,CUST-0007,PROD-010,20240905,2,1,7976.16,0.24,Net Banking,Delivered,6061.88
ORD-00576,CUST-0110,PROD-004,20220803,3,1,8772.87,0.29,Net Banking,Delivered,6228.74
ORD-00604,CUST-0141,PROD-001,20220621,4,1,18767.74,0.23,Net Banking,Delivered,14451.16
ORD-00622,CUST-0499,PROD-007,20231219,4,1,13287.28,0.09,Net Banking,Delivered,12091.42
ORD-00678,CUST-0470,PROD-007,20240527,2,1,18690.4,0.06,Net Banking,Delivered,17568.98
ORD-00682,CUST-0086,PROD-010,20240613,2,1,14827.8,0.25,Net Banking,Delivered,11120.85
ORD-00687,CUST-0219,PROD-009,20220228,2,1,8970.16,0.12,Net Banking,Delivered,7893.74
ORD-00720,CUST-0256,PROD-001,20220712,1,1,14742.84,0.06,Net Banking,Delivered,13858.27
